Using gpu device 0: GRID K520 (CNMeM is disabled)
/home/ubuntu/anaconda2/lib/python2.7/site-packages/Theano-0.8.0.dev0-py2.7.egg/theano/tensor/signal/downsample.py:5: UserWarning: downsample module has been moved to the pool module.
  warnings.warn("downsample module has been moved to the pool module.")
Couldn't import dot_parser, loading of dot files will not be possible.
left_eye_center_x            7039
left_eye_center_y            7039
right_eye_center_x           7036
right_eye_center_y           7036
left_eye_inner_corner_x      2271
left_eye_inner_corner_y      2271
left_eye_outer_corner_x      2267
left_eye_outer_corner_y      2267
right_eye_inner_corner_x     2268
right_eye_inner_corner_y     2268
right_eye_outer_corner_x     2268
right_eye_outer_corner_y     2268
left_eyebrow_inner_end_x     2270
left_eyebrow_inner_end_y     2270
left_eyebrow_outer_end_x     2225
left_eyebrow_outer_end_y     2225
right_eyebrow_inner_end_x    2270
right_eyebrow_inner_end_y    2270
right_eyebrow_outer_end_x    2236
right_eyebrow_outer_end_y    2236
nose_tip_x                   7049
nose_tip_y                   7049
mouth_left_corner_x          2269
mouth_left_corner_y          2269
mouth_right_corner_x         2270
mouth_right_corner_y         2270
mouth_center_top_lip_x       2275
mouth_center_top_lip_y       2275
mouth_center_bottom_lip_x    7016
mouth_center_bottom_lip_y    7016
Image                        7049
dtype: int64
X.shape == (2140, 9216); X.min == 0.000; X.max == 1.000
y.shape == (2140, 30); y.min == -0.920; y.max == 0.996
... building the model
199) precision=0.0000, Traning cost=0.0026, DE cost: 0.0069
200) precision=0.0000, Traning cost=0.0065, DE cost: 0.0070
201) precision=0.0000, Traning cost=0.0030, DE cost: 0.0069
202) precision=0.0000, Traning cost=0.0044, DE cost: 0.0070
203) precision=0.0000, Traning cost=0.0045, DE cost: 0.0068
204) precision=0.0000, Traning cost=0.0021, DE cost: 0.0066
205) precision=0.0000, Traning cost=0.0024, DE cost: 0.0070
206) precision=0.0000, Traning cost=0.0023, DE cost: 0.0068
207) precision=0.0000, Traning cost=0.0038, DE cost: 0.0070
208) precision=0.0000, Traning cost=0.0021, DE cost: 0.0066
209) precision=0.0000, Traning cost=0.0037, DE cost: 0.0067
210) precision=0.0000, Traning cost=0.0022, DE cost: 0.0068
211) precision=0.0000, Traning cost=0.0032, DE cost: 0.0067
212) precision=0.0000, Traning cost=0.0023, DE cost: 0.0065
213) precision=0.0000, Traning cost=0.0025, DE cost: 0.0069
214) precision=0.0000, Traning cost=0.0032, DE cost: 0.0068
215) precision=0.0000, Traning cost=0.0050, DE cost: 0.0067
216) precision=0.0000, Traning cost=0.0022, DE cost: 0.0069
217) precision=0.0000, Traning cost=0.0033, DE cost: 0.0067
218) precision=0.0000, Traning cost=0.0030, DE cost: 0.0068
219) precision=0.0000, Traning cost=0.0022, DE cost: 0.0068
220) precision=0.0000, Traning cost=0.0043, DE cost: 0.0068
221) precision=0.0000, Traning cost=0.0026, DE cost: 0.0067
222) precision=0.0000, Traning cost=0.0029, DE cost: 0.0065
223) precision=0.0000, Traning cost=0.0066, DE cost: 0.0067
224) precision=0.0000, Traning cost=0.0037, DE cost: 0.0068
225) precision=0.0000, Traning cost=0.0031, DE cost: 0.0068
226) precision=0.0000, Traning cost=0.0024, DE cost: 0.0065
227) precision=0.0000, Traning cost=0.0042, DE cost: 0.0067
228) precision=0.0000, Traning cost=0.0071, DE cost: 0.0066
229) precision=0.0000, Traning cost=0.0026, DE cost: 0.0066
230) precision=0.0000, Traning cost=0.0036, DE cost: 0.0066
231) precision=0.0000, Traning cost=0.0035, DE cost: 0.0065
232) precision=0.0000, Traning cost=0.0033, DE cost: 0.0064
233) precision=0.0000, Traning cost=0.0035, DE cost: 0.0066
234) precision=0.0000, Traning cost=0.0040, DE cost: 0.0067
235) precision=0.0000, Traning cost=0.0028, DE cost: 0.0066
236) precision=0.0000, Traning cost=0.0027, DE cost: 0.0065
237) precision=0.0000, Traning cost=0.0022, DE cost: 0.0065
238) precision=0.0000, Traning cost=0.0041, DE cost: 0.0065
239) precision=0.0000, Traning cost=0.0028, DE cost: 0.0065
240) precision=0.0000, Traning cost=0.0024, DE cost: 0.0067
241) precision=0.0000, Traning cost=0.0031, DE cost: 0.0065
242) precision=0.0000, Traning cost=0.0042, DE cost: 0.0064
243) precision=0.0000, Traning cost=0.0024, DE cost: 0.0066
244) precision=0.0000, Traning cost=0.0033, DE cost: 0.0064
245) precision=0.0000, Traning cost=0.0036, DE cost: 0.0064
246) precision=0.0000, Traning cost=0.0050, DE cost: 0.0067
247) precision=0.0000, Traning cost=0.0043, DE cost: 0.0065
248) precision=0.0000, Traning cost=0.0037, DE cost: 0.0064
249) precision=0.0000, Traning cost=0.0042, DE cost: 0.0065
250) precision=0.0000, Traning cost=0.0058, DE cost: 0.0066
251) precision=0.0000, Traning cost=0.0031, DE cost: 0.0065
252) precision=0.0000, Traning cost=0.0034, DE cost: 0.0065
253) precision=0.0000, Traning cost=0.0035, DE cost: 0.0065
254) precision=0.0000, Traning cost=0.0026, DE cost: 0.0063
255) precision=0.0000, Traning cost=0.0043, DE cost: 0.0065
256) precision=0.0000, Traning cost=0.0025, DE cost: 0.0063
257) precision=0.0000, Traning cost=0.0032, DE cost: 0.0065
258) precision=0.0000, Traning cost=0.0029, DE cost: 0.0064
259) precision=0.0000, Traning cost=0.0038, DE cost: 0.0065
260) precision=0.0000, Traning cost=0.0026, DE cost: 0.0062
